Fecha;Posicion;Numero
21/07/2025;1;25
21/07/2025;2;5
21/07/2025;3;88
21/07/2025;4;91
21/07/2025;5;76
21/07/2025;6;5
21/07/2025;7;32
21/07/2025;8;60
21/07/2025;9;66
21/07/2025;10;37
22/07/2025;1;28
22/07/2025;2;67
22/07/2025;3;43
22/07/2025;4;33
22/07/2025;5;96
22/07/2025;6;39
22/07/2025;7;10
22/07/2025;8;44
22/07/2025;9;18
22/07/2025;10;39
23/07/2025;1;82
23/07/2025;2;40
23/07/2025;3;78
23/07/2025;4;32
23/07/2025;5;55
23/07/2025;6;23
23/07/2025;7;83
23/07/2025;8;47
23/07/2025;9;72
23/07/2025;10;55
24/07/2025;1;28
24/07/2025;2;12
24/07/2025;3;80
24/07/2025;4;25
24/07/2025;5;26
24/07/2025;6;94
24/07/2025;7;67
24/07/2025;8;58
24/07/2025;9;49
24/07/2025;10;99
25/07/2025;1;59
25/07/2025;2;15
25/07/2025;3;86
25/07/2025;4;37
25/07/2025;5;37
25/07/2025;6;75
25/07/2025;7;25
25/07/2025;8;78
25/07/2025;9;70
25/07/2025;10;80
26/07/2025;1;89
26/07/2025;2;79
26/07/2025;3;76
26/07/2025;4;45
26/07/2025;5;56
26/07/2025;6;1
26/07/2025;7;54
26/07/2025;8;32
26/07/2025;9;28
26/07/2025;10;7
14/07/2025;1;96
14/07/2025;2;81
14/07/2025;3;35
14/07/2025;4;2
14/07/2025;5;11
14/07/2025;6;87
14/07/2025;7;81
14/07/2025;8;98
14/07/2025;9;64
14/07/2025;10;79
15/07/2025;1;40
15/07/2025;2;74
15/07/2025;3;62
15/07/2025;4;93
15/07/2025;5;10
15/07/2025;6;29
15/07/2025;7;35
15/07/2025;8;9
15/07/2025;9;96
15/07/2025;10;75
16/07/2025;1;10
16/07/2025;2;6
16/07/2025;3;85
16/07/2025;4;43
16/07/2025;5;74
16/07/2025;6;34
16/07/2025;7;17
16/07/2025;8;77
16/07/2025;9;17
16/07/2025;10;86
17/07/2025;1;29
17/07/2025;2;97
17/07/2025;3;23
17/07/2025;4;18
17/07/2025;5;28
17/07/2025;6;89
17/07/2025;7;1
17/07/2025;8;77
17/07/2025;9;5
17/07/2025;10;2
18/07/2025;1;79
18/07/2025;2;2
18/07/2025;3;17
18/07/2025;4;73
18/07/2025;5;56
18/07/2025;6;20
18/07/2025;7;58
18/07/2025;8;15
18/07/2025;9;52
18/07/2025;10;76
19/07/2025;1;81
19/07/2025;2;21
19/07/2025;3;11
19/07/2025;4;33
19/07/2025;5;14
19/07/2025;6;40
19/07/2025;7;40
19/07/2025;8;37
19/07/2025;9;22
19/07/2025;10;8
